Participant,Country,Result,Notes
William Arthur Carr,USA,46.2,Olympic and World Record
Benjamin Bangs Eastman,USA,46.4,
Alex Wilson,CAN,47.4,
William Walters,RSA,48.2,
James Allen Gordon,USA,48.2,
George Golding,AUS,48.8,
